2.26195 0.251327  -0.78146
2.26195 0.502655  -0.58092
2.26195 0.753982  1.07874
2.26195 1.00531  5.29516
2.26195 1.25664  11.54853
2.26195 1.50796  15.6567
2.26195 1.75929  11.52277
2.26195 2.01062  0.60368
2.26195 2.26195  -2.16086
2.26195 2.51327  9.88185
2.26195 2.7646  11.77001
2.26195 3.01593  -3.30702
2.26195 3.26726  4.45567
2.26195 3.51858  10.58154
2.26195 3.76991  -5.59916
2.26195 4.02124  10.72244
2.26195 4.27257  -2.96457
2.26195 4.52389  6.04312
2.26195 4.77522  -1.92745
2.26195 5.02655  5.8293
2.26195 5.27788  -5.90438
2.26195 5.5292  8.94714
2.26195 5.78053  -8.6289
2.26195 6.03186  2.99022345
2.26195 6.28319  3.520274
2.51327 0  -0.87228
2.51327 0.251327  -1.09773
2.51327 0.502655  -0.89671
2.51327 0.753982  0.76375
2.51327 1.00531  4.98128
2.51327 1.25664  11.23608
2.51327 1.50796  15.346
2.51327 1.75929  11.21412
2.51327 2.01062  0.29739
2.51327 2.26195  -2.46448
2.51327 2.51327  9.58121
2.51327 2.7646  11.47265
2.51327 3.01593  -3.60081
2.51327 3.26726  4.16574
2.51327 3.51858  10.29576
2.51327 3.76991  -5.88051
2.51327 4.02124  10.44581
2.51327 4.27257  -3.23622
2.51327 4.52389  5.77672
2.51327 4.77522  -2.18834
2.51327 5.02655  5.57418
2.51327 5.27788  -6.15349
2.51327 5.5292  8.70428
2.51327 5.78053  -8.8653
2.51327 6.03186  2.76056
2.51327 6.28319  3.297539
2.7646 0  -1.19428
2.7646 0.251327  -1.41956
2.7646 0.502655  -1.21805
2.7646 0.753982  0.44324
2.7646 1.00531  4.66192
2.7646 1.25664  10.9182
2.7646 1.50796  15.0299
2.7646 1.75929  10.90017
2.7646 2.01062  -0.0141
2.7646 2.26195  -2.7732
2.7646 2.51327  9.27557
2.7646 2.7646  11.1704
2.7646 3.01593  -3.89936
2.7646 3.26726  3.871197
2.7646 3.51858  10.00551
2.7646 3.76991  -6.16616
2.7646 4.02124  10.16504
2.7646 4.27257  -3.51183
2.7646 4.52389  5.50654
2.7646 4.77522  -2.45281
2.7646 5.02655  5.31567
2.7646 5.27788  -6.40577
2.7646 5.5292  8.45846
2.7646 5.78053  -9.1044
2.7646 6.03186  2.52839
2.7646 6.28319  3.072531
3.01593 0  -1.52159
3.01593 0.251327  -1.74669
3.01593 0.502655  -1.54467
3.01593 0.753982  0.11747
3.01593 1.00531  4.33735
3.01593 1.25664  10.59516
3.01593 1.50796  14.7087
3.01593 1.75929  10.5812
3.01593 2.01062  -0.33054
3.01593 2.26195  -3.08677
3.01593 2.51327  8.96518
3.01593 2.7646  10.86352
3.01593 3.01593  -4.20241
3.01593 3.26726  3.572283
3.01593 3.51858  9.71104
3.01593 3.76991  -6.45588
3.01593 4.02124  9.88036
3.01593 4.27257  -3.79118
3.01593 4.52389  5.23281
3.01593 4.77522  -2.72065
3.01593 5.02655  5.054
3.01593 5.27788  -6.66102
3.01593 5.5292  8.20989
3.01593 5.78053  -9.346
3.01593 6.03186  2.293902
3.01593 6.28319  2.845435
3.26726 0  -1.85393
3.26726 0.251327  -2.07886
3.26726 0.502655  -1.8763
3.26726 0.753982  -0.21328
3.26726 1.00531  4.00783
3.26726 1.25664  10.26722
3.26726 1.50796  14.3827
3.26726 1.75929  10.25747
3.26726 2.01062  -0.65166
3.26726 2.26195  -3.40494
3.26726 2.51327  8.65031
3.26726 2.7646  10.55227
3.26726 3.01593  -4.50971
3.26726 3.26726  3.269247
3.26726 3.51858  9.41259
3.26726 3.76991  -6.74943
3.26726 4.02124  9.59201
3.26726 4.27257  -4.07403
3.26726 4.52389  4.95575
3.26726 4.77522  -2.99163
3.26726 5.02655  4.78937
3.26726 5.27788  -6.91903
3.26726 5.5292  7.95876
3.26726 5.78053  -9.59
3.26726 6.03186  2.05729
3.26726 6.28319  2.616436
3.51858 0  -2.19102
3.51858 0.251327  -2.41576
3.51858 0.502655  -2.21267
3.51858 0.753982  -0.54874
3.51858 1.00531  3.673644
3.51858 1.25664  9.93466
3.51858 1.50796  14.0521
3.51858 1.75929  9.92924
3.51858 2.01062  -0.97719
3.51858 2.26195  -3.72743
3.51858 2.51327  8.33121
3.51858 2.7646  10.2369
3.51858 3.01593  -4.82102
3.51858 3.26726  2.9623438
3.51858 3.51858  9.11041
3.51858 3.76991  -7.0466
3.51858 4.02124  9.30023
3.51858 4.27257  -4.36015
3.51858 4.52389  4.67559
3.51858 4.77522  -3.26553
3.51858 5.02655  4.522
3.51858 5.27788  -7.1796
3.51858 5.5292  7.70529
3.51858 5.78053  -9.8361
3.51858 6.03186  1.81875
3.51858 6.28319  2.385723
3.76991 0  -2.53258
3.76991 0.251327  -2.75714
